
2025/02/22 (22:01:19) | ===> btop++ v.1.4.0
2025/02/22 (22:01:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:01:41) | ===> btop++ v.1.4.0
2025/02/22 (22:01:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (12:15:06) | ===> btop++ v.1.4.0
2025/03/06 (12:15:06) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/08 (20:35:07) | ===> btop++ v.1.4.0
2025/03/08 (20:35:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (13:40:39) | ===> btop++ v.1.4.0
2025/04/29 (13:40:39) | WARNING: Intel GPU: Failed to initialize PMU
